2020-02-21 18:27:03.440 [main] INFO  - §aWelcome! Please choose a language first!
2020-02-21 18:27:03.446 [main] INFO  - eng => English
2020-02-21 18:27:03.447 [main] INFO  - chs => 中文（简体）
2020-02-21 18:27:03.447 [main] INFO  - cht => 中文（繁體）
2020-02-21 18:27:03.447 [main] INFO  - jpn => 日本語
2020-02-21 18:27:03.448 [main] INFO  - rus => Pyccĸий
2020-02-21 18:27:03.448 [main] INFO  - spa => Español
2020-02-21 18:27:03.449 [main] INFO  - pol => Polish
2020-02-21 18:27:03.449 [main] INFO  - bra => Português-Brasil
2020-02-21 18:27:03.450 [main] INFO  - kor => 한국어
2020-02-21 18:27:03.450 [main] INFO  - ukr => Українська
2020-02-21 18:27:03.450 [main] INFO  - deu => Deutsch
2020-02-21 18:27:03.451 [main] INFO  - ltu => Lietuviškai
2020-02-21 18:27:03.451 [main] INFO  - idn => Indonesia
2020-02-21 18:27:03.452 [main] INFO  - cze => Czech
2020-02-21 18:27:03.454 [main] INFO  - tur => Turkish
2020-02-21 18:27:03.454 [main] INFO  - fin => Suomi
